business_name,phone,website,rating,reviews,lead_tag,reason
Willowbrook Smoke Shop,2818366008,,5.0,1628,HOT,No website
EAGLE SMOKE SHOP & TOBACCO,4704943608,,5.0,341,HOT,No website
SMOKERS SPOT Smoke shop & Vape shop,8325598195,,4.9,120,HOT,No website
Mango Island Smoke Shop,8328480144,,4.9,617,HOT,No website
Champion Smoke shop & Vape,3468087519,,4.7,62,HOT,No website
PLANET BUZZ SMOKE SHOP,6624910597,,4.9,15,HOT,No website
Smoke N Cell 5,8322885140,,5.0,312,HOT,No website
Papa Smokes Vape,8327155224,,4.9,68,HOT,No website
Smo-king Smoke Shop & Dispensary,8322482764,,4.7,116,HOT,No website
Zeus Smoke Shop,2819668766,,4.9,147,HOT,No website
Puff Daddy Smoke Shop & Daiquiris,8324785130,,4.7,71,HOT,No website
Spring Smoke Shop,8327215632,,4.9,11,HOT,No website
HIGH KEY Smoke Shop & Vape Shop,8324588525,,5.0,465,HOT,No website
Puffzilla Smoke Shop,8324034886,,4.9,186,HOT,No website
Twisted Smoke Shop,7134711688,,4.7,122,HOT,No website
Smoker Empire,8329124069,,4.8,127,HOT,No website
Nice Dreams Smoke Vape,2819823182,,4.7,19,HOT,No website
Karma Smoke Shop & Daiquiris To Go,8329860490,,4.7,79,HOT,No website
290 Smoke Shop,7134661195,,4.7,76,HOT,No website
Space City Smoke Shop,2812607164,,4.7,287,HOT,No website
Cherry Smoke & Vapor & Hookah,8324275606,,4.9,189,HOT,No website
Greenhouse Smoke and Vape,3464396212,,4.6,54,HOT,No website
Vitrum Smoke Shop,2818155857,,4.8,463,HOT,No website
Purple Haze Smoke Shop #3,8326403695,,4.3,14,HOT,No website
Good O Timez Smoke N Tattoo Supplies,8327814414,,5.0,463,HOT,No website
Nefertiti Smoke Shop LLC,8327285014,,5.0,153,HOT,No website
Greenspoint Smoke Shop,2818365224,,4.5,63,HOT,No website
Stuff N Puff Smoke Shop,8326726664,,4.3,107,HOT,No website
Elevate Smoke Shop,2819191431,elevateshophouston.com,5.0,371,HOT,Broken website
Bizarre Bazaar by Vape City,8324463922,vapecity.us,4.7,475,HOT,Broken website
Yoyos Smoke Shop LLC,7137889794,yoyosshops.com,5.0,4,HOT,Broken website
SUPREME SMOKE,5189617393,jssmokeshop.odoo.com,5.0,406,HOT,Broken website
AK Smoke,7134713567,ak.com,4.8,45,HOT,Broken website
Mad Dog Smoke Shop,2816532209,facebook.com,4.7,335,HOT,Broken website
Smoke N More Smoke Shop,2812885007,facebook.com,4.6,264,HOT,Broken website
Puffmeister Smoke & Vape Shop,8323345379,facebook.com,4.5,48,HOT,Broken website
